,average,ndays,1 year ago,10 years ago,increase since 1800
1974-05-19,333.37,5.0,-999.99,,50.4
1974-05-25,332.95,,,,
1974-05-26,332.95,6.0,-999.99,,50.06
1974-06-01,332.44,,,,
1974-06-02,332.35,5.0,-999.99,,49.6
1974-06-08,332.2,,,,
1974-06-09,332.2,7.0,-999.99,,49.65
1974-06-15,332.32,,,,
1974-06-16,332.37,7.0,-999.99,,50.06
1974-06-22,331.83,,,,
1974-06-23,331.73,5.0,-999.99,,49.72
1974-06-29,331.72,,,,
1974-06-30,331.69,6.0,-999.99,,50.02
1974-07-06,331.5,,,,
1974-07-07,331.46,6.0,-999.99,,50.2
1974-07-13,330.95,,,,
1974-07-14,330.83,5.0,-999.99,,50.01
1974-07-20,330.79,,,,
1974-07-21,330.76,7.0,-999.99,,50.41
1974-07-27,329.97,,,,
1974-07-28,329.81,4.0,-999.99,,49.97
1974-08-03,329.93,,,,
1974-08-04,329.85,5.0,-999.99,,50.54
1974-08-10,329.15,,,,
1974-08-11,329.15,5.0,-999.99,,50.37
1974-08-17,329.21,,,,
1974-08-18,329.06,6.0,-999.99,,50.8
1974-08-24,328.39,,,,
1974-08-25,328.33,7.0,-999.99,,50.54
1974-08-31,328.09,,,,
1974-09-01,328.06,5.0,-999.99,,50.68
1974-09-07,327.74,,,,
1974-09-08,327.56,4.0,-999.99,,50.53
1974-09-14,326.84,,,,
1974-09-15,326.72,6.0,-999.99,,49.95
1974-09-21,326.73,,,,
1974-09-22,326.99,5.0,-999.99,,50.37
1974-09-28,327.52,,,,
1974-09-29,327.31,5.0,-999.99,,50.76
1974-10-05,326.98,,,,
1974-10-06,327.07,6.0,-999.99,,50.49
1974-10-12,327.21,,,,
1974-10-13,327.23,5.0,-999.99,,50.53
1974-10-19,327.38,,,,
1974-10-20,327.4,5.0,-999.99,,50.51
1974-10-26,327.59,,,,
1974-10-27,327.64,7.0,-999.99,,50.5
1974-11-02,327.87,,,,
1974-11-03,327.8,7.0,-999.99,,50.39
1974-11-09,328.23,,,,
1974-11-10,328.5,6.0,-999.99,,50.79
1974-11-16,328.69,,,,
1974-11-17,328.61,6.0,-999.99,,50.59
1974-11-23,328.44,,,,
1974-11-24,328.46,5.0,-999.99,,50.15
1974-11-30,328.77,,,,
1974-12-01,328.8,5.0,-999.99,,50.2
1974-12-07,329.32,,,,
1974-12-08,329.39,7.0,-999.99,,50.53
1974-12-14,329.68,,,,
1974-12-15,329.78,7.0,-999.99,,50.68
1974-12-21,329.96,,,,
1974-12-22,329.96,7.0,-999.99,,50.64
1974-12-28,330.27,,,,
1974-12-29,330.38,7.0,-999.99,,50.86
1975-01-04,330.59,,,,
1975-01-05,330.49,6.0,-999.99,,50.79
1975-01-11,330.62,,,,
1975-01-12,330.59,7.0,-999.99,,50.71
1975-01-18,330.54,,,,
1975-01-19,330.79,7.0,-999.99,,50.74
1975-01-25,331.37,,,,
1975-01-26,331.24,7.0,-999.99,,51.02
1975-02-01,331.52,,,,
1975-02-02,331.64,6.0,-999.99,,51.26
1975-02-08,331.19,,,,
1975-02-09,331.11,7.0,-999.99,,50.54
1975-02-15,331.31,,,,
1975-02-16,331.42,6.0,-999.99,,50.66
1975-02-22,331.83,,,,
1975-02-23,331.96,7.0,-999.99,,50.99
1975-02-28,331.97,,,,
1975-03-02,331.77,3.0,-999.99,,50.58
1975-03-07,331.64,,,,
1975-03-09,331.64,5.0,-999.99,,50.22
1975-03-14,332.02,,,,
1975-03-16,332.11,5.0,-999.99,,50.45
1975-03-21,331.95,,,,
1975-03-23,331.9,3.0,-999.99,,49.98
1975-03-28,333.49,,,,
1975-03-30,333.3,5.0,-999.99,,51.15
1975-04-04,332.75,,,,
1975-04-06,332.78,5.0,-999.99,,50.4
1975-04-11,333.16,,,,
1975-04-13,333.16,3.0,-999.99,,50.57
1975-04-18,333.34,,,,
1975-04-20,333.28,6.0,-999.99,,50.52
1975-04-25,333.26,,,,
1975-04-27,333.48,7.0,-999.99,,50.59
1975-05-02,333.99,,,,
1975-05-04,333.94,7.0,-999.99,,50.96
1975-05-09,334.21,,,,
1975-05-11,334.25,6.0,-999.99,,51.24
1975-05-16,333.47,,,,
1975-05-18,333.46,5.0,-999.99,,50.48
1975-05-23,333.99,,,,
1975-05-25,334.0,7.0,332.95,,51.09
1975-05-30,333.92,,,,
1975-06-01,333.96,7.0,332.44,,51.18
1975-06-06,333.38,,,,
